Fecha,Ventas en Dólares,Promociones,Día_Semana
2023-06-01,714.19,0,Jueves
2023-06-02,1066.17,0,Viernes
2023-06-03,3646.84,1,Sabado
2023-06-04,3081.8,0,Domingo
2023-06-05,1193.16,1,Lunes
2023-06-06,573.82,1,Martes
2023-06-07,3318.99,1,Miercoles
2023-06-08,3348.73,0,Jueves
2023-06-09,4884.15,1,Viernes
2023-06-10,3189.55,0,Sabado
2023-06-11,3069.14,1,Domingo
2023-06-12,1286.92,1,Lunes
2023-06-13,1451.03,0,Martes
2023-06-14,4707.34,1,Miercoles
2023-06-15,2853.82,1,Jueves
2023-06-16,2886.74,1,Viernes
2023-06-17,2489.78,0,Sabado
2023-06-18,2601.0,0,Domingo
2023-06-19,2429.4,1,Lunes
2023-06-20,2405.14,0,Martes
2023-06-21,3654.69,1,Miercoles
2023-06-22,3579.52,0,Jueves
2023-06-23,128.3,0,Viernes
2023-06-24,4338.77,0,Sabado
2023-06-25,2689.79,1,Domingo
2023-06-26,1816.16,1,Lunes
2023-06-27,673.57,1,Martes
2023-06-28,574.15,1,Miercoles
2023-06-29,521.96,0,Jueves
2023-06-30,2993.18,1,Viernes
2023-07-01,643.97,0,Sabado
2023-07-02,4937.08,1,Domingo
2023-07-03,913.28,1,Lunes
2023-07-04,4408.46,1,Martes
2023-07-05,3055.08,1,Miercoles
2023-07-06,4505.8,0,Jueves
2023-07-07,584.18,1,Viernes
2023-07-08,649.59,1,Sabado
2023-07-09,4127.2,0,Domingo
2023-07-10,3518.96,1,Lunes
2023-07-11,2115.74,1,Martes
2023-07-12,2154.83,1,Miercoles
2023-07-13,3567.53,0,Jueves
2023-07-14,2237.75,1,Viernes
2023-07-15,3144.17,1,Sabado
2023-07-16,918.39,1,Domingo
2023-07-17,952.11,1,Lunes
2023-07-18,1563.73,0,Martes
2023-07-19,4096.7,0,Miercoles
2023-07-20,2070.85,1,Jueves
2023-07-21,502.95,1,Viernes
2023-07-22,2434.94,0,Sabado
2023-07-23,978.16,0,Domingo
2023-07-24,1197.48,1,Lunes
2023-07-25,2843.18,0,Martes
2023-07-26,3903.12,0,Miercoles
2023-07-27,1007.01,0,Jueves
2023-07-28,3178.96,0,Viernes
2023-07-29,2569.41,0,Sabado
2023-07-30,1142.25,0,Domingo
2023-07-31,3915.41,1,Lunes
2023-08-01,4554.52,0,Martes
2023-08-02,1538.7,1,Miercoles
2023-08-03,4259.15,1,Jueves
2023-08-04,1814.14,0,Viernes
2023-08-05,2729.47,0,Sabado
2023-08-06,3240.92,1,Domingo
2023-08-07,1766.56,0,Lunes
2023-08-08,1045.49,1,Martes
2023-08-09,1244.67,0,Miercoles
2023-08-10,4324.38,0,Jueves
2023-08-11,1314.94,0,Viernes
2023-08-12,173.04,1,Sabado
2023-08-13,3805.14,1,Domingo
2023-08-14,2534.59,0,Lunes
2023-08-15,974.43,0,Martes
2023-08-16,2828.23,1,Miercoles
2023-08-17,679.14,1,Jueves
2023-08-18,1824.53,0,Viernes
2023-08-19,1553.87,0,Sabado
2023-08-20,4331.29,1,Domingo
2023-08-21,1854.05,1,Lunes
2023-08-22,931.93,0,Martes
2023-08-23,2947.55,1,Miercoles
2023-08-24,834.41,0,Jueves
2023-08-25,4030.33,0,Viernes
2023-08-26,3073.6,0,Sabado
2023-08-27,2380.68,0,Domingo
2023-08-28,2106.49,1,Lunes
2023-08-29,3879.74,1,Martes
2023-08-30,1071.18,0,Miercoles
2023-08-31,2910.17,0,Jueves
2023-09-01,291.9,1,Viernes
2023-09-02,3824.5,1,Sabado
2023-09-03,2173.28,0,Domingo
2023-09-04,2348.93,0,Lunes
2023-09-05,568.3,0,Martes
2023-09-06,1132.55,1,Miercoles
2023-09-07,690.0,0,Jueves
2023-09-08,3123.27,1,Viernes
2023-09-09,1769.37,0,Sabado
2023-09-10,4369.66,1,Domingo
2023-09-11,385.94,0,Lunes
2023-09-12,802.57,0,Martes
2023-09-13,809.95,1,Miercoles
2023-09-14,2191.22,0,Jueves
2023-09-15,3750.05,1,Viernes
2023-09-16,4344.24,1,Sabado
2023-09-17,2730.75,1,Domingo
2023-09-18,3169.14,0,Lunes
2023-09-19,4765.98,0,Martes
2023-09-20,2991.35,1,Miercoles
2023-09-21,3096.07,1,Jueves
2023-09-22,2299.95,0,Viernes
2023-09-23,4697.44,1,Sabado
2023-09-24,4809.91,0,Domingo
2023-09-25,709.38,0,Lunes
2023-09-26,3344.69,1,Martes
2023-09-27,2844.84,1,Miercoles
2023-09-28,794.69,1,Jueves
2023-09-29,276.7,1,Viernes
2023-09-30,4687.18,0,Sabado
2023-10-01,2637.15,0,Domingo
2023-10-02,1478.42,1,Lunes
2023-10-03,2020.62,0,Martes
2023-10-04,458.75,0,Miercoles
2023-10-05,2223.96,1,Jueves
2023-10-06,168.12,0,Viernes
2023-10-07,2666.87,0,Sabado
2023-10-08,1023.61,1,Domingo
2023-10-09,3086.06,1,Lunes
2023-10-10,211.21,1,Martes
2023-10-11,1117.65,0,Miercoles
2023-10-12,1915.9,1,Jueves
2023-10-13,3297.72,1,Viernes
2023-10-14,2598.65,0,Sabado
2023-10-15,2940.62,1,Domingo
2023-10-16,1170.93,0,Lunes
2023-10-17,361.47,0,Martes
2023-10-18,2050.47,1,Miercoles
2023-10-19,3948.38,0,Jueves
2023-10-20,4577.54,0,Viernes
2023-10-21,860.25,0,Sabado
2023-10-22,1684.24,1,Domingo
2023-10-23,3823.69,1,Lunes
2023-10-24,4677.03,1,Martes
2023-10-25,2002.39,0,Miercoles
2023-10-26,4548.57,0,Jueves
2023-10-27,2388.6,1,Viernes
2023-10-28,2645.57,1,Sabado
2023-10-29,3177.08,0,Domingo
2023-10-30,756.83,0,Lunes
2023-10-31,350.1,1,Martes
2023-11-01,3813.58,1,Miercoles
2023-11-02,426.43,0,Jueves
2023-11-03,2580.16,0,Viernes
2023-11-04,1652.03,1,Sabado
2023-11-05,2589.7,0,Domingo
2023-11-06,2320.97,0,Lunes
2023-11-07,1946.46,0,Martes
2023-11-08,1744.01,1,Miercoles
2023-11-09,834.74,1,Jueves
2023-11-10,2887.16,0,Viernes
2023-11-11,3894.22,1,Sabado
2023-11-12,4992.79,1,Domingo
2023-11-13,754.46,1,Lunes
2023-11-14,4167.63,0,Martes
2023-11-15,4793.37,0,Miercoles
2023-11-16,1058.1,0,Jueves
2023-11-17,1951.29,0,Viernes
2023-11-18,1549.89,0,Sabado
2023-11-19,4669.89,0,Domingo
2023-11-20,3862.32,1,Lunes
2023-11-21,4582.21,0,Martes
2023-11-22,1906.7,1,Miercoles
2023-11-23,938.54,1,Jueves
2023-11-24,1815.41,0,Viernes
2023-11-25,4724.23,1,Sabado
2023-11-26,736.25,1,Domingo
2023-11-27,3394.79,0,Lunes
2023-11-28,1527.93,0,Martes
2023-11-29,4482.25,1,Miercoles
2023-11-30,1524.73,0,Jueves
2023-12-01,4264.86,1,Viernes
2023-12-02,2247.86,0,Sabado
2023-12-03,1970.76,0,Domingo
2023-12-04,4497.55,0,Lunes
2023-12-05,2166.79,1,Martes
2023-12-06,2326.71,0,Miercoles
2023-12-07,2347.75,0,Jueves
2023-12-08,541.61,1,Viernes
2023-12-09,1573.64,1,Sabado
2023-12-10,3568.71,1,Domingo
2023-12-11,2303.68,1,Lunes
2023-12-12,2100.09,1,Martes
2023-12-13,2267.06,1,Miercoles
2023-12-14,2264.62,1,Jueves
2023-12-15,3713.6,0,Viernes
2023-12-16,4040.28,1,Sabado
2023-12-17,4997.9,0,Domingo
2023-12-18,903.22,0,Lunes
2023-12-19,1139.26,1,Martes
2023-12-20,461.22,0,Miercoles
2023-12-21,1199.93,1,Jueves
2023-12-22,2592.93,1,Viernes
2023-12-23,3436.19,1,Sabado
2023-12-24,836.14,0,Domingo
2023-12-25,1290.29,0,Lunes
2023-12-26,4838.41,0,Martes
2023-12-27,1666.84,1,Miercoles
2023-12-28,3488.95,0,Jueves
2023-12-29,1617.09,1,Viernes
2023-12-30,3891.34,1,Sabado
2023-12-31,3194.99,1,Domingo
